Building & Room ID,Building Name,Floor, Room size (SF),Department,Room Use Code,Actual Stations,Furniture Type,Space Category,Comments,Room Photo1,Room Photo2,Room Photo3,Room Photo4,Occupants,Function Comment
042-A 0001-00,Anderson Aquatic Center,0,0,115600-CSM-Kinesiology & Public Hlth,521 - Athletic or Physical Education - Outdoor,30,00 Unapplicable,8 Indoor Recreation,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F042-A%2F042-A%200001-00.Room%20Photo1.174245.jpg&appVersion=1.000082&signature=0a722c269106556a58d79da6d6f306c53bb2960d103f9668d47bae4e35d410a1,,,, ,
033-0 0387-A0,Clyde P. Fisher Science Hall,2,148.65,115100-CSM-Biological Sciences,250 - Research Lab,2,00 Unapplicable,4 Research Laboratories,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200387-A0.Room%20Photo1.200510.jpg&appVersion=1.000082&signature=bec144ee462da4022f7d62c0be6d0926f3e85d24fd3d88aa8bced3448566609a,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200387-A0.Room%20Photo2.200510.jpg&appVersion=1.000082&signature=eb34963839ee7c0bcfc4aa109557d5ce3232c0280ed650c5568d3cc3d6eb6ad8,,,"Greenlee-Wacker, Mallary (CSM-BIO)",
033-0 0387-00,Clyde P. Fisher Science Hall,2,491.45,115100-CSM-Biological Sciences,250 - Research Lab,8,00 Unapplicable,4 Research Laboratories,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200387-00.Room%20Photo1.200352.jpg&appVersion=1.000082&signature=62883d3ba078614589a18eb5c0001b59313609b41b827af07a8b1097aaa5a3ce,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200387-00.Room%20Photo2.200352.jpg&appVersion=1.000082&signature=6a2b1cbbdf93407eb31b85520f876bc6fab218a232c12295c823496b7f61f521,,,"Greenlee-Wacker, Mallary (CSM-BIO)",
033-0 0386-00,Clyde P. Fisher Science Hall,2,164.07,115100-CSM-Biological Sciences,215 - Teaching Lab Service,0,00 Unapplicable,2 Class Laboratories,Contains 2 Bio safety cabinets,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200386-00.Room%20Photo1.200226.jpg&appVersion=1.000082&signature=02c6bd45ac4be77b25ae196a7ab286e0c9c035e24f7b9571bdd964341a8c2a8d,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200386-00.Room%20Photo2.200226.jpg&appVersion=1.000082&signature=d4862e2bf6ac6b91a587919a052f69bdc793eeba58c6a73674b7408a83c78982,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200386-00.Room%20Photo3.200226.jpg&appVersion=1.000082&signature=3ef4267f27300d92f6f17ff315f99ff6fb3caecb1a23b816a52a3cdc726a1721,, ,
033-0 0383-00,Clyde P. Fisher Science Hall,2,109.35,115100-CSM-Biological Sciences,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200383-00.Room%20Photo1.194750.jpg&appVersion=1.000082&signature=cea69c56cd6ab40f4e2e391b45f68b69c3287047e0ccaa4bd70fa33945bc8291,,,,"Hendricks, Steven (CSM-BIO)",
033-0 0382-00,Clyde P. Fisher Science Hall,2,116.37,115100-CSM-Biological Sciences,311 - Staff Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200382-00.Room%20Photo1.193847.jpg&appVersion=1.000082&signature=1b14d4fd13c1e948cf94054a84a36051041cddaa615effb6e0837dfe0eb11fc1,,,,"Moylan, Thomas (CSM-CCMS)",
033-0 0381-A0,Clyde P. Fisher Science Hall,2,89.59,115100-CSM-Biological Sciences,760 - Hazardous Materials Storage,0,00 Unapplicable,13 Other Academic Space,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200381-A0.Room%20Photo1.195813.jpg&appVersion=1.000082&signature=0aadfe4c27a5791f43c6ed012c2be3093b4856172b192757e0d2aafb9d313426,,,, ,
033-0 0381-00,Clyde P. Fisher Science Hall,2,859.43,115100-CSM-Biological Sciences,215 - Teaching Lab Service,0,00 Unapplicable,2 Class Laboratories,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200381-00.Room%20Photo1.195741.jpg&appVersion=1.000082&signature=0d6255d3e7876d400ca0f930fb75c2c22275671e940df6f5d3745461a3391ae6,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200381-00.Room%20Photo2.195741.jpg&appVersion=1.000082&signature=adace491bab2efa60b39be9ec2d031b8466703d95712f37cca2b18b334d4aab7,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200381-00.Room%20Photo3.195741.jpg&appVersion=1.000082&signature=f44e2688cff66bd9d93396ea7b1dcd2e611bb0698337ca3ffb8df826aefb531c,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200381-00.Room%20Photo4.195742.jpg&appVersion=1.000082&signature=6847f7ceff7cabe3812f3adb40c790cd1ecc5fcf4faddb4a3fb55e3f49471616, ,
033-0 0380-00,Clyde P. Fisher Science Hall,2,101.97,115100-CSM-Biological Sciences,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Sarah Gravem office,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200380-00.Room%20Photo1.195623.jpg&appVersion=1.000082&signature=27dabb1dc4e576b48de55f7b947271f736ea5a467b71c42b262d0352c8cfbee7,,,, ,
033-0 0379-00,Clyde P. Fisher Science Hall,2,107.28,115100-CSM-Biological Sciences,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F033-0%2F033-0%200379-00.Room%20Photo1.195510.jpg&appVersion=1.000082&signature=36cd5cab9467dd1273102df6125e81ada9d19df27d0c6f6b6fef0cbf47bc6a95,,,,"Greenlee-Wacker, Mallary (CSM-BIO)",
