Filename,Building,Floor,Room,TopLeftX,TopLeftY,BottomRightX,BottomRightY
building-053-0_science-north_2.svg,53,2,211A,224,441,256,462
building-053-0_science-north_2.svg,53,2,211,255,414,296,460
building-053-0_science-north_2.svg,53,2,216,307,241,318,273
building-053-0_science-north_1.svg,53,1,109,230,285,301,312
building-053-0_science-north_1.svg,53,1,105,230,468,302,494
building-053-0_science-north_2.svg,53,2,217,337,212,351,228
building-053-0_science-north_1.svg,53,1,101,230,541,267,561
building-053-0_science-north_1.svg,53,1,115,321,316,392,410
building-053-0_science-north_2.svg,53,2,210B,268,500,295,524
building-053-0_science-north_2.svg,53,2,219,351,239,389,266
building-053-0_science-north_1.svg,53,1,107,230,400,301,428
building-053-0_science-north_2.svg,53,2,220,352,266,388,292
building-053-0_science-north_1.svg,53,1,102,290,530,321,561
building-053-0_science-north_1.svg,53,1,114A,321,301,404,314
building-053-0_science-north_1.svg,53,1,C100,302,178,321,531
building-053-0_science-north_2.svg,53,2,201,387,336,455,414
building-053-0_science-north_1.svg,53,1,103,230,519,291,539
building-053-0_science-north_2.svg,53,2,203,339,403,388,484
building-053-0_science-north_1.svg,53,1,106,230,428,300,467
building-053-0_science-north_2.svg,53,2,210D,256,534,267,550
building-053-0_science-north_2.svg,53,2,C200,287,293,317,594
building-053-0_science-north_2.svg,53,2,210F,223,489,257,520
building-053-0_science-north_2.svg,53,2,211B,224,414,255,440
building-053-0_science-north_2.svg,53,2,218,352,211,387,238
building-053-0_science-north_2.svg,53,2,206,318,483,389,580
building-053-0_science-north_1.svg,53,1,104,230,494,302,521
building-053-0_science-north_1.svg,53,1,113,321,207,393,301
building-053-0_science-north_2.svg,53,2,E200,264,562,287,582
building-053-0_science-north_2.svg,53,2,214,223,292,296,322
building-053-0_science-north_2.svg,53,2,209,224,550,263,582
building-053-0_science-north_2.svg,53,2,210C,268,524,296,550
building-053-0_science-north_2.svg,53,2,208,225,581,275,610
building-053-0_science-north_1.svg,53,1,108,232,312,300,399
building-053-0_science-north_2.svg,53,2,207,277,595,316,609
building-053-0_science-north_1.svg,53,1,110,231,191,301,284
building-053-0_science-north_1.svg,53,1,114,392,314,459,392
building-053-0_science-north_1.svg,53,1,112,322,191,392,207
building-053-0_science-north_2.svg,53,2,202,316,324,387,403
building-053-0_science-north_1.svg,53,1,E100,267,541,290,559
building-053-0_science-north_2.svg,53,2,210,257,461,297,533
building-053-0_science-north_2.svg,53,2,213,224,324,295,390
building-053-0_science-north_2.svg,53,2,210E,224,520,257,550
building-053-0_science-north_2.svg,53,2,215,222,211,318,293
building-053-0_science-north_2.svg,53,2,210A,267,472,295,499
building-053-0_science-north_1.svg,53,1,116,322,411,392,561
building-053-0_science-north_2.svg,53,2,210G,224,462,256,488
building-053-0_science-north_1.svg,53,1,111,256,153,302,189
building-053-0_science-north_2.svg,53,2,205,317,444,338,483
building-053-0_science-north_2.svg,53,2,212,224,391,295,413
building-053-0_science-north_2.svg,53,2,204,316,420,337,444
building033floor4.png,33,4,400,913.38,930.36,949.25,960.79
building033floor4.png,33,4,469,734.06,1439.64,798.83,1500.94
building033floor4.png,33,4,468,661.71,1506.73,799.18,1672.74
building033floor4.png,33,4,465,856.69,1329.12,991.51,1491.01
building033floor4.png,33,4,466A,949.04,1498.99,991.51,1559.7
building033floor4.png,33,4,466B,959.44,1567.36,992.38,1693.78
building033floor4.png,33,4,467,855.98,1699.1,991.38,1864.11
building033floor4.png,33,4,456,660.45,227.11,800.02,384.49
building033floor4.png,33,4,454,663.16,437.32,801.77,596.6
building033floor4.png,33,4,455,662.77,389.58,800.67,432.52
building033floor4.png,33,4,453,661.3,599.74,800.43,757.45
building033floor4.png,33,4,452,661.6,763.17,799.83,804.29
building033floor4.png,33,4,451,662.1,810.73,800.82,966.8
building033floor4.png,33,4,457,854.33,440.14,992.06,594.72
building033floor4.png,33,4,458,854.33,600.66,992.06,641.78
building033floor4.png,33,4,459,855.32,648.22,991.57,804.79
building033floor4.png,33,4,460,855.11,810.79,991.42,872.87
building033floor4.png,33,4,462,855.11,930.47,905.03,961.82
building033floor4.png,33,4,473,662.33,1171.2,799.27,1245.1
building033floor4.png,33,4,472,662.33,1250.53,798.62,1323.57
building033floor4.png,33,4,404,733.84,1329.22,798.83,1356.39
building033floor4.png,33,4,471,661.46,1329.65,729.06,1388.56
building033floor4.png,33,4,470,734.06,1361.82,799.05,1433.99
building033floor4.png,33,4,468A,661.68,1393.99,728.84,1501.15
building033floor4.png,33,4,C402,802.48,969.91,993.96,1158.03
building033floor4.png,33,4,461,854.74,876.98,992.33,924.44
building033floor4.png,33,4,413,856.68,1170.68,992.33,1226.89
building033floor4.png,33,4,414A,856.38,1228.12,898.39,1291.93
building033floor4.png,33,4,414,898.91,1241.87,990.81,1322.98
building033floor4.png,33,4,466,856.15,1495.93,946.14,1693.76
building033floor4.png,33,4,C401,806.14,480.74,851.54,944.24
building033floor4.png,33,4,C403,804.03,1177.58,851.54,1633.69
