0,Unclassified & Nonassignable,
1,Classrooms,
2,Class Laboratories,
3,Open Laboratories,
4,Research Laboratories,
5,Academic Unit Offices,
6,Administrative Unit Offices,
7,Library + Study Space,
8,Indoor Recreation,
9,Intercollegiate Athletic Space,
10,Assembly + Exhibit Space,
11,Student-Centered Space,
12,Student Health Care,
13,Other Academic Space,
14,Other Administrative Space,
15,Animal Quarters,
16,Field Buildings,
17,Greenhouses,
18,Animal Health Care,
19,Physical Plant,
20,Kinesiology,
21,Residential Space,
22,Off Campus/Ranch Hous,es
23,Inactive / Conversion,Space
24,Parking Garage,
25,Outside Organizations,
26,Need to Categorize,
